Green Acres Afloat,USA,1910,180,45,95
Sputnik,Russia,1911,64,16,38
Her Majesty's Glory,UK,1945,117,29,68
Sulaco,USA,1975,45,11,31
Nostromos,USA,1914,194,49,101
Flying Dutchmen,Tortuga,1912,69,17,36
Enterprize,USSF,1997,125,31,65
Black Pearl,Barbados,1925,196,49,106
PT109,USN,1933,151,38,77
Titanic,UK,1995,188,47,97
IronSides,USA,1907,126,32,69
Nautilus,no flag,1886,127,32,68
El Vaquero ,Argentina,1986,91,23,51
Machu Picchu Skiff,Peru,2004,135,34,76
Folgers Best,Columbia,1959,197,49,108
Queen,France,2024,456,523,324